id,HH,Emo,Ext,Agr,Con,Ope
c21266df726d6c9c15f0d67d05c4b942,40,23,36,37,40,35
c25284a4b0f58dfeba4f9271e79a42cc,31,23,34,37,34,37
c2e0ab0e5d03fd9c9ade534143a9c69e,29,35,44,35,33,40
c30fded6353e5beb07269aa69701227e,23,32,35,18,41,39
c348e05df916295c8e6633ad897c5f3e,35,20,28,38,34,33
c3605c14e1a6a4f05b032f6e10e6e4de,32,29,28,32,33,28
c3bc7ae95fd98fe1896ccf744d2665ed,42,36,33,37,40,38
c3d7b9ae0cbfe669167e304c754f0bb9,27,33,37,29,30,32
c43a148d66253e823e96074c0b92d569,30,32,30,31,31,29
c531e816df18905226dd739c10b95060,32,26,44,33,43,40
c59f6937e6f5282cb56e0b7f193721b9,39,34,28,30,39,35
c634b42029e388bb6846d8aa2861a545,31,34,33,34,36,37
c68412a74479b8f7f129cce1790d38db,35,25,32,32,35,35
c6c78cccac4a3277718b4ac7a8d39a63,39,29,37,26,27,36
c7ac953a88fd0ff1d4d25d99d79fcfec,37,30,34,40,27,32
c7d1d332bdd0d9be5f1439f75fc594a4,31,29,33,28,32,32
c94dfab49cbe265b83ad17f590e93297,40,25,35,36,36,37
c9e304b4905672fc900966f7e6962d47,34,45,27,24,36,34
ca7d763837f29d244aa57117883dc4b0,33,24,44,41,44,47
cad7ad12cbce730e6cd80517e170cd46,33,38,35,34,32,39
cada11f64e821c87b3a0e7c771269835,40,35,32,38,30,38
cb86b2fef4f5313bac3f6e688844b8b8,26,34,21,33,31,32
cc296ac8c713d37d820fb16dd3190ad2,34,31,34,29,29,28
a4cf13a19b3e02c8b0b84bb43f0b0b67,35,22,36,34,33,37
a4dadcc4af7c7375163c6b5d16041ec2,36,30,32,33,35,43
a6b793f41a5d9bb95e22b11d4751699a,33,34,28,34,39,32
a6d0062d4f62c36838b0810e15bf1814,27,41,26,33,29,39
a705c679b711e547cee055d6fa0b1080,28,40,35,25,22,25
a7857fc4a7e62a4e7ae12f32d88bdee3,31,37,29,30,32,29
a84dfa4a9dcd4523955bb1384dda9482,28,22,33,33,33,32
a882acf3cca88b28b386737b18791321,28,36,28,38,30,32
a91ea60b1ce816beb228ba8fd9dec9c8,30,36,33,27,35,32
a9e98676551369be8c7cbe3290b7393a,37,41,30,28,36,40
aadadfc171995c18152bddc2d9de57b5,32,36,26,30,29,33
aae0da436f7bc19ba1b8b1bab53b1131,39,31,39,28,37,39
abb1f6c95e3b5bdab65225b2c9b3104b,33,40,28,28,26,36
ac46b5fe58cb4ea6961cabbbb4424657,35,32,32,36,33,36
ad4a391324d01b0383a2a1c7e0e536ed,39,23,37,38,29,43
ad836e064db75fc0832bcbecf5e8d9f2,38,18,32,44,31,21
adb466b7319f09d80ac80c8fa628b090,30,40,29,37,33,29
ae443ceccdc88b8521b1c57c1651b2c6,27,37,27,34,34,42
af660bd5455c266e247c4084054c4fcc,31,35,32,33,33,40
afb923001ec0c1b254ac4de604b57657,30,41,31,32,32,36
b037f4d97f59bcb52c2927f7121e56c1,38,33,33,36,34,28
b071712cce7f4bcfa80de3f00e11418e,35,33,35,35,32,34
b0934656aa9720acdf7afb5549194261,33,43,36,35,34,31
b168fa6a638402009f01a3b6b90b2e5e,31,38,42,35,33,39
99434938674fdfdafde34ff21b31a02f,34,44,19,31,31,26
9a5f6773cc8d81b4f3026e58ba5ae4f3,43,39,32,32,32,34
9ac8d30aef569e27b21a8de1a92ed283,40,27,41,27,36,43
9ae89f080bb0b6004c3a59b39ddb77ac,31,41,27,24,30,40
9bee98702d283c2475aa08dd4a326c75,44,32,33,36,41,45
9cc014472e6785982e863d106cc42414,43,30,26,42,14,24
9d115977fe09f412256b2dc5d048b779,40,39,33,37,21,33
9dca79d0e644f7dbe191effc78c98d03,24,42,32,20,33,33
9ddea15c5e7cf2676fc9ea3ef8b93225,29,33,27,28,33,26
9e5b2ca9aa02dde0b4862d86b0cfa7d1,30,29,24,38,40,38
9e817fb90deb4daf7deb095dd59a8ab5,32,38,37,30,33,32
9ed42e1baccf649a5ddd32cd888589c6,38,27,26,35,38,34
9f0af6f2a826a18734b15d8f9be961ba,32,21,40,32,37,29
9f21a083403afb026fa7e4cf3e655cc4,38,27,36,23,29,45
9fe9b03226ed9e13671ce19eaa5d1d59,36,33,32,26,32,23
a051b0e4f0c65ed28a8621e86f5ad53f,24,30,21,36,31,37
a05aa9521d14d908480a3c2aaf499f49,29,32,34,33,31,39
a05b26a01abaab724d20ec0df1f41729,39,48,45,30,40,22
a06c6d735a86b37014e9905569cfe9b5,22,38,26,25,25,24
a0addfd906d6e8f54e02a8cc362948b8,17,37,34,20,29,32
a1e4c643c519f86b867b1f1971f24b61,41,30,22,27,40,36
a229c9de2665928b1f1158af3b1eb91c,38,32,39,38,34,35
a23bb4942770b1edb4484ca915502204,13,29,37,33,38,43
a32d54bb006f20bd8bf01ff906631b8d,41,29,34,34,31,45
a362d84fc743a5bd94e6e887a322e895,28,40,37,28,30,42
a443181c6a41f85c20b67acc4aad77e9,44,31,24,32,35,39
192e910341eb7d887a3b8581f2b7b288,37,42,30,25,34,32
19a92c81383439e56b74bbf8bccad05c,42,36,39,47,41,41
1a722a6e08298b5fcf12731ef0ebe164,28,33,27,23,34,27
1ca6fde259775e439694e8e6edcf3561,46,43,27,36,32,33
1d1ea6ade833464e75f8b23063423129,38,26,38,36,33,35
1d2126f5d56044ffbfc8e63fd78ede2d,38,40,40,31,34,35
1d6be601c067d4880955a5a53593cdb7,26,28,37,34,28,35
1d9a7822c81e9072449f18c24f0d8b34,34,30,23,30,26,24
1f60b21e4898d340ef4250ec66970347,32,30,32,30,36,36
20dac16c82ea319932e787355ee642f2,28,36,18,28,30,37
20de813e32083d3552240f1ee2caab4e,30,37,36,25,38,32
2252c4577c9e5c85b60a678b21aa2664,35,33,43,36,34,34
2273cb54fce7a499aec4f569be354775,39,27,37,29,36,36
22c78c5c3c53cf0cc30e2e288046d979,38,29,31,32,28,37
23418550c67fa6f5329888f94a9f248e,37,25,37,33,42,32
2391652bc417b65bf1d6341c96120c23,36,31,37,33,31,35
23bc2adad2a44ea8dc5c4aafda8d3df9,29,35,38,36,25,36
2491ebfeb11b7f1cec3436020c9a8c39,32,29,31,34,33,35
25e253f35aaf57ee90751ed1ff7db8d6,38,31,34,27,28,30
2620b241704a82578e374bb0061d72ae,38,30,35,36,34,38
26e6c00fe53d53f7ff7e53fd4260a53c,41,32,31,33,35,32
2704e7dbf99685b9d4893e7d23e10ef4,28,37,27,34,33,36
27246b6224346aa7a9545c51c82195c1,27,29,30,31,29,27
279c193c3b97bdd2479db600dd68e0fd,29,41,34,30,36,42
29932a451b58f0c9b323f98a7e2b813a,36,32,38,30,37,35
29ec624c313566f7ae4b0168569b2e9d,27,25,35,40,38,33
2a2c80646dd4b6258ee44708598f21ba,35,38,29,29,27,27
2b5490f35f5c65aa4dafaa4dca7c4c71,35,34,46,29,27,30
2c745b973a85dca137ef2ae61fdc7026,35,37,27,27,30,40
2d3a1b4258efbd38dfe14e685b3fd87e,39,32,29,30,30,32
2d482e997745890cad3b404f67883420,36,30,29,33,35,26
2d7ed51ded8bd317483d963baca01776,24,34,35,36,23,32
2ee2916d5d956af118ec5cc2b02c9b64,37,32,32,25,42,36
2efe5ba4cae90af6ba54ed4104f59992,28,30,32,31,31,30
2f37c0a3380d67ddc27eee00465929db,29,30,29,31,24,32
2f4763c5731304130d34c5318ede17dd,36,34,34,36,36,39
2f77bd81b968bf3429fa0b613eb858e4,31,35,35,31,37,39
305c4cc3be0b3263b3794490468365a0,41,33,38,38,36,35
305eaf5b1fad5150f0d5a6d5a54d9b58,28,32,28,27,24,29
30b126d1649306d7ebe55b004c064375,26,30,31,30,34,31
31936ec8ed77bd62b37354cced519c6a,43,43,26,28,33,28
32114074abdd34f40ea7c7f196a9e384,19,40,31,29,28,34
32930c579ff3eb4a2f364fa8c98e6b6b,28,31,32,25,27,32
329b4aec07fefbbd720762a7ac553b99,23,33,37,35,28,32
3403a6c6e4638a7c2c96e073b8e1f348,32,34,23,25,27,34
cd3fe7bb37490347a96e675a106e6fa2,41,40,21,26,35,44
cdf0295edb40684a421c7ef2d51b7532,38,37,32,22,25,35
ce2ef357df5240735ec58b360d246e12,32,42,42,41,33,38
cf6185d82fcac18aefabcbde117e3f16,36,44,23,28,36,37
cfb41871d130c89c43f2504d941a6af8,36,36,38,38,34,35
d0e5dcd7bbee0adbbc41481b6b1522c8,35,32,33,32,36,35
d1abd59400343e7f5b5a14caea15890b,45,25,23,27,32,30
d1e94a8b0bda1a51d369c374d937aa86,37,47,37,28,34,21
d211b17d3fd4522e38a1665124847afc,35,37,29,31,28,32
d37b05ab990f27ac8c420636795a1baa,30,22,28,39,35,35
d4007923402f9bb4fa717c9695eb183e,37,37,27,27,35,24
d4a3b4cec9e7b55c81dfc88b613d3b2e,27,39,36,28,37,32
d50475e8b7d28beae082c64f2088c744,38,34,39,32,39,41
d5666ec33195719531c466017a378a38,29,31,35,33,30,30
d5c95139e601f07f2a1573beaae9c644,38,33,35,47,27,23
d68c1207c0fb209a1696f84a93de0485,18,39,39,34,30,48
d745bf45342a88fa4c36bc3df52999ad,30,28,40,37,41,40
d751ddc1cafbc90e73e36e0c11a0a76e,34,30,26,35,31,36
d776c78a7f701cbd2b7dde9403727745,36,35,38,32,31,35
d7c6657cb727deea5c6d0570b352c2d2,38,36,27,31,25,33
d90dd7228053566386b6a8638fd7c913,33,36,36,39,34,31
d995d9ef8569d21b9e61c52dedd17dcc,34,41,26,27,31,32
d99ab16f5471b525ed18da02f8beae9f,35,34,33,28,26,30
db1436d4066139a8532cd9c9c269b2cb,28,45,22,40,36,40
db388860af94b606c60557a849be0a80,32,32,35,37,39,41
db8e6d71be8bc5b2428b82e17e0e5416,34,40,32,33,39,31
dbda5d6f877c9f28a2a21629a59971e2,31,37,38,38,38,36
dc44cf7675758ee273d531d5b11c3b0b,32,37,36,29,31,28
dc55d02970c5f0b6fd4d23d67209c808,27,31,30,34,40,40
dc81f5347e7522118bff5e5649af18ad,34,43,26,37,33,27
dd1da7b0ad18ff1d27b943687d4ac443,30,33,35,29,26,36
dd40fc11a5fe9b22531f30bd69f044f0,33,38,35,31,39,37
dd724d3b1c975014b0f7a1b35a76d03d,45,37,27,40,24,34
dd8677f464ba2c13cf3ecfaa46208a2e,36,48,35,38,22,40
de23180c28775da37ed209fd11596bc3,36,18,27,34,41,40
de4867a4d35a2be96cd8ab56d698b6bb,28,33,40,36,34,35
de549fd1d0f7303e2d456a27e856006f,38,33,37,34,30,37
df4fee754fe4f1bb2d89ff0ad93cb1cc,33,35,29,38,32,29
e0de8e147663adb6851d490ff13c68e4,32,31,31,45,36,45
e1545f3d113c97476925ac8d77fbc889,33,37,34,34,30,31
e1e3a01dcee92d18913dbdb14628f7b2,35,34,29,22,37,39
e204bc740e515bf0864d20591ca059ce,30,35,35,37,32,31
e23ab9a71561e3cdbc1d221d14baec10,32,29,33,30,29,33
e26e50a5ec04e841dae7b930ee0e98db,37,31,25,32,36,34
e382296989f665287392cab8515889bc,17,43,29,25,29,38
e3f0509db5379cd618c8c293208231f6,28,33,39,28,31,32
e4659e83e0e0a43b27cc872a3d51eda9,37,30,38,34,35,36
e47fe99ef36b9dc6841fc61671078657,22,46,33,20,41,26
e764066ecaf9a49381b5c84985b42d5d,32,30,24,30,35,44
e7fca61d1dbaa1b285c49eddb10b78bf,43,21,38,37,35,34
e8914ca8710065231a5048dfb019c3a0,40,40,24,32,30,24
e8d2e7f6bd51c0adf03b94e79b075ab0,30,41,31,31,41,43
e949ee63b9ddc363397cb6407ce941f1,27,41,31,26,32,39
ea3d635c59a715bc4a2f17c42a10eeaa,41,40,31,40,39,42
ea5d0f411f8d3d379c3c65570225e4f8,33,24,39,35,36,38
ea7c44a733d182d786b3b64204972952,30,26,29,28,29,34
eab1b6b37e26b7147a93eeff57a8f14b,37,23,38,29,33,36
ebe84e42bb6ccc628f1df067244eff5b,25,36,37,32,26,27
ec180a1df67f52ee8f5b9591b6a39589,40,38,31,33,33,33
ec88f010f57aa120ce46ee8e0a8c47df,40,26,36,33,34,37
eca0567f2d808118277914e2b96db069,32,31,31,39,33,36
edc5dde805fcac094602f8df3e32f9bd,31,42,25,27,33,30
edd23344a6d9bf57e788f4e64073f9d9,34,37,20,36,36,24
ef232a1856518244f0150d3591aa3c11,35,32,37,36,30,35
ef51b9eea0206cfa4a0c11d75eb17422,40,40,25,35,39,30
f05ddf4cffe69388f3a884e8c3476065,33,36,26,23,31,20
f0786f054c6c51c2909955abad56394e,32,24,27,32,26,36
f1348a607635e81a39284c00b9e6d57c,35,38,39,36,32,42
f306916e112014780081919f82aa211b,37,29,36,38,40,39
f3095bdb2f659e7fcb5e171211db7d38,31,24,37,28,43,43
f3141606bebf2f81228944bcf50d27e7,31,39,31,24,20,37
f3b115281804c3c72a93c8f8fef5665c,42,31,34,37,37,39
f463afd5aee25de33d051d01bc6548f7,32,42,29,29,23,35
f4971a29a6704e307e0fac42ec650d11,36,36,32,35,36,30
f4e518694d573c49c653831864fcb070,29,36,33,34,35,36
f52e09bda2021436d9f244f21798ea7c,44,36,33,35,39,40
f5552b9d83cf03dd9c83216800de69d0,40,40,25,40,34,36
f59e7f1c715a164fc7f0fe5b5069e19c,34,37,22,36,33,35
f5dbe094887b4b5b4e230bce2d41dae6,29,39,29,26,30,33
f644406dfaec29adcb396759a965ab62,38,28,30,33,27,44
f7222a002dbac6073eb02106c182ae29,22,42,25,19,43,44
f724306e3e735325a71b9e3b884b65b6,42,41,28,26,31,31
f840426dac44fb2555b972c389a79307,24,41,34,34,35,28
f8d82c60fba41e4cf19255c68f993f01,27,32,28,30,30,27
f9120b4d3e32f7bef2d2b28fb2cabaf3,37,31,25,40,20,29
fb20a411e9f7c1407212c4cb86f3136b,20,39,31,25,26,36
fb4cded367a3f88d62dc9061cf387348,33,36,29,20,35,30
fb5159baf071f34e5390de937971d08e,26,41,38,26,28,26
fc46857b69c8f24474803b1c6be5eccc,24,33,40,26,39,36
fd0c050fea4a1da36a1be4f5788a044d,27,40,38,25,35,39
fe43a28b9dd0e11739c5b96158db2d67,28,26,39,38,31,37
fe6745dbfb7cc2451002b5cafcba4f3e,34,23,29,42,25,40
fe72b7bd4c395e79b0c909a4456409cf,33,39,31,31,29,30
ff866affc00b8051b60bd910cd0058dc,40,27,37,40,36,35
ffa7a71194cc9f4b1781c20edb60e36a,23,22,12,45,33,37
6c2b8f5bfe81cd3950f9745d88c8c962,30,45,26,30,32,40
6ca61b7bc89ff6057ec546f617294bd2,45,41,41,27,37,40
6d1ce99d20827104d2ee0c9e60f46661,39,37,29,35,34,30
6ebf9292ef8e574f0c8714d8f97bba17,32,39,28,22,31,35
6eed5b6f22b83ae003df9186017f8bcb,37,34,27,31,31,39
6f6705593d2e154b5bc3475b65f1a77d,27,25,26,28,40,28
6fa310320407227e30a3014e1911d468,30,35,38,39,28,31
6fa3c677316624693a9a945fa40a6507,26,34,34,34,26,30
70306e4beaf6a8ea4e46b464a84a9e46,33,34,24,40,38,33
709f6d372ab862b9c04c2154b6198745,34,22,45,34,30,29
70c3f65a61beebf9bbd263663b222af3,44,28,42,37,38,41
7156409651c43a9f299e8f81be6fc8ca,36,30,29,36,41,32
71712f87a279f1563d1d34909af73723,32,33,31,37,30,29
717481fc327e59aeefb1be474e6cb4e1,29,24,29,27,30,27
71828ef8416d2f4e88068e6801819d4e,38,38,36,36,30,38
71ced8fd605d6ad5da073e36fad00f49,29,31,35,35,28,34
71fa8e0b38cd6a94c7849553c47e64a7,40,38,28,29,37,45
7223008fb960e6c459dc3991d14db7dd,28,42,33,29,30,34
736a4de226f2fa0593c3087fefad1923,36,30,25,34,24,36
73d2b4794f45ca12d0ff5b980a75b317,26,28,31,38,28,37
73fe95d7b85cf8a0178e64abc2015fa0,34,38,35,23,28,35
740935625c2ce4811a7f39b368d9c41f,33,35,38,33,27,33
7409e6bc6200443d1a1ba2123a9360e3,28,38,34,28,34,30
74400632efedf48b54f31bb547503a28,33,38,36,28,30,33
745bb91f10152ae20e1eab29a96ad8fa,27,48,32,45,41,40
74bb311386bec686a93b774230a22903,36,39,29,34,30,31
765c724bfcbcede700ef4712d0c1b244,29,35,33,33,29,31
7666ed580ecbdecf52e06e9aad960947,29,34,40,43,17,45
769c2bdf3560f6dc0fceb85ad67537f5,38,41,30,36,35,34
76ac04871008cf5f420abfb9025f2c11,32,36,32,35,41,35
77a9519ba43656b81e37aa5109d9c481,31,37,26,38,23,35
78bf126fad48f75848278a7bcf241c65,31,31,24,36,20,34
7a5e26104b4911e8623906d5119b4719,25,37,27,24,33,21
7bfb220cf8293070d4ec4596cede768f,31,28,15,25,29,29
7c49e708fe961d691e0d03067a1bf1df,35,31,39,30,39,27
7c988c69c69882afb39945aa56bbff1b,39,23,30,31,42,34
7cac0e950cdeb6c689b16c3e82ad71a3,29,32,34,32,30,32
7d212e9543a333ea2277a5dada5a3ae4,33,36,28,36,36,26
7d244aff5278da22ddecd19f6d7a20db,32,37,25,29,31,28
7f76e88730c229445da58d6e5675be18,28,23,41,36,35,36
80f86d1c7e47efbe33fb6489fd46f8d7,40,35,45,38,35,33
81824074a4a05f31b0e70e8d060b85d5,21,38,44,22,41,43
81bec83e6ec4f17f875e6b5d582d9c49,28,38,42,36,41,37
8240913f0d1f406d565ed2215273a43c,37,28,22,34,32,31
